Year,Weight,Changes
2008,585,
2009,605,
2010,620,Refuelling is banned
2011,640,Kinetic Recovery System (KERS) widely adopted
2012,640,
2013,642,Minor changes in the weight of Pirelli’s tyre range
2014,691,Hybrid V6 engines introduced
2015,702,Anti-intrusion panels added to cockpit
2016,702,
2017,728,Wider wheels and tyres introduced
2018,734,Halo introduced
2019,743,80kg driver allowance
2020,746,Second fuel flow meter added
2021,752,
2022,798,"New cars designed around ground effects aerodynamics, plus bigger wheels and wheel covers also introduced"
